SECTION,YEAR_RANGE,MAKE,MODEL,NOTES

"=== SECTION 1: MAKES WITH FULL MODEL DROPDOWNS IN APP ===","","","",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","4Runner",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Avalon",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","bZ4X",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Camry",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Camry Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Celica",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Corolla",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Corolla Cross",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Corolla Cross Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Corolla Hatchback",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Crown",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","FJ Cruiser",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","GR Corolla",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","GR86",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","GR Supra",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Grand Highlander",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Grand Highlander Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Highlander",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Highlander Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Land Cruiser",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Matrix",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Mirai",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","MR2",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Prius",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Prius Prime",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","RAV4",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","RAV4 Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","RAV4 Prime",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Sequoia",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Sienna",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Supra",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Tacoma",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Tundra",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Venza",""
"IN APP - HAS DROPDOWN","1940-2026","Toyota","Yaris",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Accord",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Accord Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Civic",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Civic Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Clarity",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Clarity EV",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","CR-V",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","CR-Z",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Crosstour",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Element",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Fit",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","HR-V",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Insight",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Insight Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Legend",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","NSX",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Odyssey",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Passport",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Pilot",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Prelude",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Prologue",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","Ridgeline",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","S2000",""
"IN APP - HAS DROPDOWN","1940-2026","Honda","ZR-V",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Aerostar",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Aspire",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Bronco",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Bronco Sport",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","C-Max",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Chateau",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Club Wagon",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Contour",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Courier",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Crown Victoria",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Custom Van",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","E-350 Cutaway",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","E-450 Cutaway",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","E-Series",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","EcoSport",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Edge",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Escape",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Escort",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Expedition",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Explorer",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Explorer Sport Trac",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","F-150",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","F-150 Lightning",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","F-250",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","F-350",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","F-450 Cutaway",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","F-450 F-550",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","F-550 Cutaway",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Fairmont",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Falcon",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Fiesta",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Five Hundred",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Flex",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Focus",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Freestyle",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Fusion",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Galaxie",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Granada",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","LTD",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Maverick 1970s",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Maverick 2022",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Mustang",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Mustang Mach-E",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Pinto",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Probe",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Ranger",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Super Duty Series",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Taurus",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Tempo",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Thunderbird",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Transit",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Transit Cargo Van",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Transit Connect",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Transit Cutaway",""
"IN APP - HAS DROPDOWN","1940-2026","Ford","Windstar",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Astro",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Avalanche",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Aveo",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Bel Air",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Biscayne",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Blazer",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Bolt EV EUV",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","C K Series",""
