Make,Model,Notes
"Toyota","4Runner","has dropdown"
"Toyota","Avalon","has dropdown"
"Toyota","bZ3X","has dropdown"
"Toyota","bZ4X","has dropdown"
"Toyota","Camry","has dropdown"
"Toyota","Camry Hybrid","has dropdown"
"Toyota","Celica","has dropdown"
"Toyota","C-HR","has dropdown"
"Toyota","Corolla","has dropdown"
"Toyota","Corolla Cross","has dropdown"
"Toyota","Corolla Cross Hybrid","has dropdown"
"Toyota","Corolla Hatchback","has dropdown"
"Toyota","Crown","has dropdown"
"Toyota","Crown Signia","has dropdown"
"Toyota","Echo","has dropdown"
"Toyota","FJ Cruiser","has dropdown"
"Toyota","GR Corolla","has dropdown"
"Toyota","GR86","has dropdown"
"Toyota","GR Supra","has dropdown"
"Toyota","Grand Highlander","has dropdown"
"Toyota","Grand Highlander Hybrid","has dropdown"
"Toyota","Highlander","has dropdown"
"Toyota","Highlander Hybrid","has dropdown"
"Toyota","Land Cruiser","has dropdown"
"Toyota","Matrix","has dropdown"
"Toyota","Mirai","has dropdown"
"Toyota","MR2","has dropdown"
"Toyota","Pickup (Pre-Tacoma)","has dropdown"
"Toyota","Previa","has dropdown"
"Toyota","Prius","has dropdown"
"Toyota","Prius Prime","has dropdown"
"Toyota","RAV4","has dropdown"
"Toyota","RAV4 Hybrid","has dropdown"
"Toyota","RAV4 Prime","has dropdown"
"Toyota","Sequoia","has dropdown"
"Toyota","Sienna","has dropdown"
"Toyota","Supra","has dropdown"
"Toyota","Tacoma","has dropdown"
"Toyota","Tercel","has dropdown"
"Toyota","Tundra","has dropdown"
"Toyota","Venza","has dropdown"
"Toyota","Yaris","has dropdown"
"Honda","Accord","has dropdown"
"Honda","Accord Hybrid","has dropdown"
"Honda","Accord Plug-In Hybrid","has dropdown"
"Honda","Civic","has dropdown"
"Honda","Civic Hybrid","has dropdown"
"Honda","Clarity","has dropdown"
"Honda","Clarity EV","has dropdown"
"Honda","CR-V","has dropdown"
"Honda","CR-Z","has dropdown"
"Honda","Crosstour","has dropdown"
"Honda","del Sol","has dropdown"
"Honda","Element","has dropdown"
"Honda","Fit","has dropdown"
"Honda","HR-V","has dropdown"
"Honda","Insight","has dropdown"
"Honda","Insight Hybrid","has dropdown"
"Honda","Legend","has dropdown"
"Honda","NSX","has dropdown"
"Honda","Odyssey","has dropdown"
"Honda","Passport","has dropdown"
"Honda","Pilot","has dropdown"
"Honda","Prelude","has dropdown"
"Honda","Prologue","has dropdown"
"Honda","Ridgeline","has dropdown"
"Honda","S2000","has dropdown"
"Honda","ZR-V","has dropdown"
"Ford","Aerostar","has dropdown"
"Ford","Aspire","has dropdown"
"Ford","Bronco","has dropdown"
"Ford","Bronco Sport","has dropdown"
"Ford","C-Max","has dropdown"
"Ford","Chateau","has dropdown"
"Ford","Club Wagon","has dropdown"
"Ford","Contour","has dropdown"
"Ford","Courier","has dropdown"
"Ford","Crown Victoria","has dropdown"
"Ford","Custom Van","has dropdown"
"Ford","E-350 Cutaway","has dropdown"
"Ford","E-450 Cutaway","has dropdown"
"Ford","E-Series","has dropdown"
"Ford","EcoSport","has dropdown"
"Ford","Edge","has dropdown"
"Ford","E-Transit","has dropdown"
"Ford","Escape","has dropdown"
"Ford","Escort","has dropdown"
"Ford","Expedition","has dropdown"
"Ford","Expedition Max","has dropdown"
"Ford","Explorer","has dropdown"
"Ford","Explorer Sport Trac","has dropdown"
"Ford","F-150","has dropdown"
"Ford","F-150 Lightning","has dropdown"
"Ford","F-250","has dropdown"
"Ford","F-350","has dropdown"
"Ford","F-450 Cutaway","has dropdown"
"Ford","F-450 F-550","has dropdown"
"Ford","F-550 Cutaway","has dropdown"
"Ford","F-600","has dropdown"
"Ford","Fairmont","has dropdown"
"Ford","Falcon","has dropdown"
"Ford","Fiesta","has dropdown"
"Ford","Five Hundred","has dropdown"
"Ford","Flex","has dropdown"
"Ford","Focus","has dropdown"
"Ford","Freestyle","has dropdown"
"Ford","Fusion","has dropdown"
"Ford","Galaxie","has dropdown"
"Ford","Granada","has dropdown"
"Ford","LTD","has dropdown"
"Ford","Maverick 1970s","has dropdown"
"Ford","Maverick 2022","has dropdown"
"Ford","Mustang","has dropdown"
"Ford","Mustang Mach-E","has dropdown"
"Ford","Pinto","has dropdown"
"Ford","Probe","has dropdown"
"Ford","Ranger","has dropdown"
"Ford","Super Duty Series","has dropdown"
"Ford","Taurus","has dropdown"
"Ford","Tempo","has dropdown"
"Ford","Thunderbird","has dropdown"
"Ford","Transit","has dropdown"
"Ford","Transit Cargo Van","has dropdown"
"Ford","Transit Connect","has dropdown"
"Ford","Transit Cutaway","has dropdown"
"Ford","Windstar","has dropdown"
"Chevrolet","Astro","has dropdown"
"Chevrolet","Avalanche","has dropdown"
"Chevrolet","Aveo","has dropdown"
"Chevrolet","Bel Air","has dropdown"
"Chevrolet","Biscayne","has dropdown"
"Chevrolet","Blazer","has dropdown"
"Chevrolet","Blazer EV","has dropdown"
"Chevrolet","Bolt EV EUV","has dropdown"
"Chevrolet","C K Series","has dropdown"
"Chevrolet","Camaro","has dropdown"
"Chevrolet","Caprice","has dropdown"
"Chevrolet","Captiva Sport","has dropdown"
"Chevrolet","Cavalier","has dropdown"
"Chevrolet","Celebrity","has dropdown"
"Chevrolet","Chevelle","has dropdown"
"Chevrolet","Citation","has dropdown"
"Chevrolet","City Express","has dropdown"
"Chevrolet","Cobalt","has dropdown"
"Chevrolet","Colorado","has dropdown"
